k,mean,std
5,0.2277777777777778,0.07821676709197962
10,0.21319444444444446,0.0904538880546189
15,0.32569444444444445,0.11262852740396273
20,0.34513888888888883,0.08856821497412998
25,0.3590277777777778,0.07934920476158723
30,0.3791666666666667,0.057240086208319114
35,0.40069444444444435,0.07574221224686654
40,0.40138888888888885,0.08755509729152493
45,0.42499999999999993,0.10105538757545136
50,0.40555555555555556,0.11384230076928539
55,0.41944444444444445,0.13315236561599575
60,0.40486111111111106,0.07734876721786493
65,0.4131944444444445,0.07591392746206752
70,0.4097222222222222,0.07692363336693327
75,0.41527777777777775,0.07904474041740107
