feature,comparison,pval_raw,pval_bonf,pval_fdr
alphaDE_ch1,mild vs moderate,5.21887055167749e-48,1.2525289324025976e-46,6.262644662012989e-47
alphaDE_ch1,moderate vs severe,2.592968189823431e-06,6.223123655576235e-05,4.445088325411595e-06
alphaDE_ch1,mild vs severe,8.669633081279009e-13,2.080711939506962e-11,2.080711939506962e-12
betaDE_ch1,mild vs moderate,6.21383655318576e-23,1.4913207727645825e-21,2.982641545529165e-22
betaDE_ch1,moderate vs severe,0.297470374354442,1.0,0.3245131356593913
betaDE_ch1,mild vs severe,1.0332097215526815e-11,2.479703331726436e-10,2.2542757561149417e-11
gammaDE_ch1,mild vs moderate,8.214366375221884e-39,1.971447930053252e-37,6.571493100177507e-38
gammaDE_ch1,moderate vs severe,0.013246730086224547,0.3179215220693891,0.01987009512933682
gammaDE_ch1,mild vs severe,5.800494701015835e-19,1.3921187282438004e-17,2.320197880406334e-18
PeEn_ch1,mild vs moderate,0.022281690855373355,0.5347605805289606,0.029708921140497807
PeEn_ch1,moderate vs severe,0.499780832348211,1.0,0.521510433754655
PeEn_ch1,mild vs severe,0.607852284601371,1.0,0.607852284601371
alphaDE_ch2,mild vs moderate,6.281867537032266e-53,1.507648208887744e-51,1.507648208887744e-51
alphaDE_ch2,moderate vs severe,1.2482348708081767e-16,2.9957636899396243e-15,3.328626322155138e-16
alphaDE_ch2,mild vs severe,2.114309230600754e-10,5.0743421534418095e-09,4.228618461201508e-10
betaDE_ch2,mild vs moderate,6.793591250558207e-18,1.6304619001339696e-16,2.3292312859056708e-17
betaDE_ch2,moderate vs severe,0.011447384113923003,0.2747372187341521,0.018315814582276803
betaDE_ch2,mild vs severe,2.2052652092318424e-06,5.292636502156422e-05,4.071258847812632e-06
gammaDE_ch2,mild vs moderate,3.916448291919744e-26,9.399475900607385e-25,2.3498689751518467e-25
gammaDE_ch2,moderate vs severe,0.04237187700156101,1.0,0.05084625240187321
gammaDE_ch2,mild vs severe,2.9376135218162536e-17,7.050272452359008e-16,8.812840565448761e-17
PeEn_ch2,mild vs moderate,0.05933104364155072,1.0,0.0678069070189151
PeEn_ch2,moderate vs severe,0.038709123817471415,0.929018971619314,0.04889573534838495
PeEn_ch2,mild vs severe,0.01763090094597609,0.42314162270342615,0.024890683688436832
